County_ID,County,State_ID
"CNTY157","Mason","WA"
"CNTY158","Maui","HI"
"CNTY159","Meade","KY"
"CNTY160","Medina","OH"
"CNTY161","Medina","TX"
"CNTY162","Miami-Dade","FL"
"CNTY163","Middlesex","MA"
"CNTY164","Miller","MO"
"CNTY165","Milwaukee","WI"
"CNTY166","Monmouth","NJ"
"CNTY167","Monona","IA"
"CNTY168","Monroe","WI"
"CNTY169","Monterey","CA"
"CNTY170","Montgomery","MD"
"CNTY171","Montgomery","OH"
"CNTY172","Moore","NC"
"CNTY173","Multnomah","OR"
"CNTY174","Muscogee","GA"
"CNTY175","Nassau","NY"
"CNTY176","New London","CT"
"CNTY177","New York","NY"
"CNTY178","Newport","RI"
"CNTY179","Niagara","NY"
"CNTY180","Norfolk","VA"
"CNTY181","Norfolk","MA"
"CNTY182","Nueces","TX"
"CNTY183","Nye","NV"
"CNTY184","Ocean","NJ"
"CNTY185","Okaloosa","FL"
"CNTY186","Okanogan","WA"
"CNTY187","Oldham","KY"
"CNTY188","Onondaga","NY"
"CNTY189","Onslow","NC"
"CNTY190","Orange","CA"
"CNTY191","Orange","FL"
"CNTY192","Orange","NY"
"CNTY193","Orange","VA"
"CNTY194","Osceola","FL"
"CNTY195","Otero","NM"
"CNTY196","Pacific","WA"
"CNTY197","Palm Beach","FL"
"CNTY198","Pasco","FL"
"CNTY199","Pend Oreille","WA"
"CNTY200","Penobscot","ME"
"CNTY201","Pierce","WA"
"CNTY202","Pima","AZ"
"CNTY203","Pinal","AZ"
"CNTY204","Placer","CA"
"CNTY205","Platte","MO"
"CNTY206","Polk","OR"
"CNTY207","Portsmouth","VA"
"CNTY208","Pottawatomie","KS"
"CNTY209","Prince George","VA"
"CNTY210","Prince George's","MD"
"CNTY211","Prince William","VA"
"CNTY212","Providence","RI"
"CNTY213","Pulaski","MO"
"CNTY214","Richland","SC"
"CNTY215","Richmond","GA"
"CNTY216","Riverside","CA"
"CNTY217","Rockingham","NH"
"CNTY218","Rockingham","VA"
"CNTY219","Sacramento","CA"
"CNTY220","Salt Lake","UT"
"CNTY221","San Bernardino","CA"
"CNTY222","San Diego","CA"
"CNTY223","San Francisco","CA"
"CNTY224","San Joaquin","CA"
"CNTY225","San Juan","WA"
"CNTY226","San Luis Obispo","CA"
"CNTY227","San Mateo","CA"
"CNTY228","Santa Clara","CA"
"CNTY229","Santa Cruz","AZ"
"CNTY230","Sarasota","FL"
"CNTY231","Saratoga","NY"
"CNTY232","Sarpy","NE"
"CNTY233","Shelby","AL"
"CNTY234","Shelby","TN"
"CNTY235","Shiawassee","MI"
"CNTY236","Skagit","WA"
"CNTY237","Skamania","WA"
"CNTY238","Snohomish","WA"
"CNTY239","Solano","CA"
"CNTY240","Sonoma","CA"
"CNTY241","Spokane","WA"
"CNTY242","St. Charles","MO"
"CNTY243","St. Clair","IL"
"CNTY244","St. Johns","FL"
"CNTY245","St. Landry","LA"
"CNTY246","St. Louis","MO"
"CNTY247","St. Mary's","MD"
"CNTY248","Stafford","VA"
"CNTY249","Stanislaus","CA"
"CNTY250","Stevens","WA"
"CNTY251","Suffolk","VA"
"CNTY252","Suffolk","MA"
"CNTY253","Suffolk","NY"
"CNTY254","Sussex","NJ"
"CNTY255","Talladega","AL"
"CNTY256","Tarrant","TX"
"CNTY257","Texas","MO"
"CNTY258","Thurston","WA"
"CNTY259","Tom Green","TX"
"CNTY260","Travis","TX"
"CNTY261","Umatilla","OR"
"CNTY262","Utah","UT"
"CNTY263","Ventura","CA"
"CNTY264","Virginia Beach","VA"
"CNTY265","Wahkiakum","WA"
"CNTY266","Wake","NC"
"CNTY267","Walla Walla","WA"
"CNTY268","Washington","OR"
"CNTY269","Washoe","NV"
"CNTY270","Washtenaw","MI"
"CNTY271","Wayne","NC"
"CNTY272","Webb","TX"
"CNTY273","Weber","UT"
"CNTY274","Weld","CO"
"CNTY275","Whatcom","WA"
"CNTY276","Whitman","WA"
"CNTY277","Williamson","TX"
"CNTY278","Williamson","TN"
"CNTY279","Yakima","WA"
"CNTY280","Yolo","CA"
"CNTY281","York","VA"
"CNTY282","Yuba","CA"
"CNTY283","","BC"
"CNTY284","","AE"
"CNTY285","","WA"
"CNTY286","","QC"
"CNTY287","","NH"
"CNTY288","","AB"
"CNTY289","","AP"
